STA,X,Y,Z,Ptime,Stime,Rtime
0.0,0,0,0.0,0.0,0.0,0.0
1.015,0,0,1.015,0.0,0.0,0.0
2.03,0,0,2.03,0.0,0.0,0.0
3.045,0,0,3.045,0.0,0.0,0.0
4.06,0,0,4.06,0.0,0.0,0.0
5.074999999999999,0,0,5.074999999999999,0.0,0.0,0.0
6.09,0,0,6.09,0.0,0.0,0.0
7.105,0,0,7.105,0.0,0.0,0.0
8.12,0,0,8.12,0.0,0.0,0.0
9.135,0,0,9.135,0.0,0.0,0.0
10.15,0,0,10.15,0.0,0.0,0.0
11.165,0,0,11.165,0.0,0.0,0.0
12.18,0,0,12.18,0.0,0.0,0.0
13.195,0,0,13.195,0.0,0.0,0.0
14.21,0,0,14.21,0.0,0.0,0.0
15.224999999999998,0,0,15.224999999999998,0.0,0.0,0.0
16.24,0,0,16.24,0.0,0.0,0.0
17.255,0,0,17.255,0.0,0.0,0.0
18.27,0,0,18.27,0.0,0.0,0.0
19.285,0,0,19.285,0.0,0.0,0.0
20.3,0,0,20.3,0.0,0.0,0.0
21.315,0,0,21.315,0.0,0.0,0.0
22.33,0,0,22.33,0.0,0.0,0.0
23.345,0,0,23.345,0.0,0.0,0.0
24.36,0,0,24.36,0.0,0.0,0.0
25.375,0,0,25.375,0.0,0.0,0.0
26.39,0,0,26.39,0.0,0.0,0.0
27.405,0,0,27.405,0.0,0.0,0.0
28.42,0,0,28.42,0.0,0.0,0.0
29.435,0,0,29.435,0.0,0.0,0.0
30.45,0,0,30.45,0.0,0.0,0.0
31.465,0,0,31.465,0.0,0.0,0.0
32.48,0,0,32.48,0.0,0.0,0.0
33.495,0,0,33.495,0.0,0.0,0.0
34.51,0,0,34.51,0.0,0.0,0.0
35.525,0,0,35.525,0.0,0.0,0.0
36.54,0,0,36.54,0.0,0.0,0.0
37.555,0,0,37.555,0.0,0.0,0.0
38.56999999999999,0,0,38.56999999999999,0.0,0.0,0.0
39.585,0,0,39.585,0.0,0.0,0.0
40.6,0,0,40.6,0.0,0.0,0.0
41.615,0,0,41.615,0.0,0.0,0.0
42.63,0,0,42.63,0.0,0.0,0.0
43.645,0,0,43.645,0.0,0.0,0.0
44.66,0,0,44.66,0.0,0.0,0.0
45.675,0,0,45.675,0.0,0.0,0.0
46.69,0,0,46.69,0.0,0.0,0.0
47.705,0,0,47.705,0.0,0.0,0.0
48.72,0,0,48.72,0.0,0.0,0.0
49.73499999999999,0,0,49.73499999999999,0.0,0.0,0.0
50.74999999999999,0,0,50.74999999999999,0.0,0.0,0.0
51.76499999999999,0,0,51.76499999999999,0.0,0.0,0.0
52.78,0,0,52.78,0.0,0.0,0.0
53.795,0,0,53.795,0.0,0.0,0.0
54.81,0,0,54.81,0.0,0.0,0.0
55.825,0,0,55.825,0.0,0.0,0.0
56.84,0,0,56.84,0.0,0.0,0.0
57.855,0,0,57.855,0.0,0.0,0.0
58.87,0,0,58.87,0.0,0.0,0.0
59.88499999999999,0,0,59.88499999999999,0.0,0.0,0.0
60.89999999999999,0,0,60.89999999999999,0.0,0.0,0.0
61.91499999999999,0,0,61.91499999999999,0.0,0.0,0.0
62.92999999999999,0,0,62.92999999999999,0.0,0.0,0.0
63.94499999999999,0,0,63.94499999999999,0.0,0.0,0.0
64.96,0,0,64.96,0.0,0.0,0.0
65.975,0,0,65.975,0.0,0.0,0.0
66.99,0,0,66.99,0.0,0.0,0.0
68.005,0,0,68.005,0.0,0.0,0.0
69.02,0,0,69.02,0.0,0.0,0.0
70.035,0,0,70.035,0.0,0.0,0.0
71.05,0,0,71.05,0.0,0.0,0.0
72.065,0,0,72.065,0.0,0.0,0.0
73.08,0,0,73.08,0.0,0.0,0.0
74.095,0,0,74.095,0.0,0.0,0.0
75.11,0,0,75.11,0.0,0.0,0.0
76.12499999999999,0,0,76.12499999999999,0.0,0.0,0.0
77.13999999999999,0,0,77.13999999999999,0.0,0.0,0.0
78.15499999999999,0,0,78.15499999999999,0.0,0.0,0.0
79.16999999999999,0,0,79.16999999999999,0.0,0.0,0.0
80.18499999999999,0,0,80.18499999999999,0.0,0.0,0.0
81.19999999999999,0,0,81.19999999999999,0.0,0.0,0.0
82.21499999999999,0,0,82.21499999999999,0.0,0.0,0.0
83.22999999999999,0,0,83.22999999999999,0.0,0.0,0.0
84.24499999999999,0,0,84.24499999999999,0.0,0.0,0.0
85.25999999999999,0,0,85.25999999999999,0.0,0.0,0.0
86.27499999999999,0,0,86.27499999999999,0.0,0.0,0.0
87.28999999999999,0,0,87.28999999999999,0.0,0.0,0.0
88.30499999999999,0,0,88.30499999999999,0.0,0.0,0.0
89.32,0,0,89.32,0.0,0.0,0.0
90.335,0,0,90.335,0.0,0.0,0.0
91.35,0,0,91.35,0.0,0.0,0.0
92.365,0,0,92.365,0.0,0.0,0.0
93.38,0,0,93.38,0.0,0.0,0.0
94.395,0,0,94.395,0.0,0.0,0.0
95.41,0,0,95.41,0.0,0.0,0.0
96.425,0,0,96.425,0.0,0.0,0.0
97.44,0,0,97.44,0.0,0.0,0.0
98.45499999999998,0,0,98.45499999999998,0.0,0.0,0.0
99.46999999999998,0,0,99.46999999999998,0.0,0.0,0.0
100.485,0,0,100.485,0.0,0.0,0.0
101.5,0,0,101.5,0.0,0.0,0.0
102.515,0,0,102.515,0.0,0.0,0.0
103.53,0,0,103.53,0.0,0.0,0.0
104.545,0,0,104.545,0.0,0.0,0.0
105.56,0,0,105.56,0.0,0.0,0.0
106.575,0,0,106.575,0.0,0.0,0.0
107.59,0,0,107.59,0.0,0.0,0.0
108.605,0,0,108.605,0.0,0.0,0.0
109.62,0,0,109.62,0.0,0.0,0.0
110.635,0,0,110.635,0.0,0.0,0.0
111.65,0,0,111.65,0.0,0.0,0.0
112.665,0,0,112.665,0.0,0.0,0.0
113.68,0,0,113.68,0.0,0.0,0.0
114.695,0,0,114.695,0.0,0.0,0.0
115.71,0,0,115.71,0.0,0.0,0.0
116.725,0,0,116.725,0.0,0.0,0.0
117.74,0,0,117.74,0.0,0.0,0.0
118.755,0,0,118.755,0.0,0.0,0.0
119.76999999999998,0,0,119.76999999999998,0.0,0.0,0.0
120.78499999999998,0,0,120.78499999999998,0.0,0.0,0.0
121.79999999999998,0,0,121.79999999999998,0.0,0.0,0.0
122.81499999999998,0,0,122.81499999999998,0.0,0.0,0.0
123.82999999999998,0,0,123.82999999999998,0.0,0.0,0.0
124.84499999999998,0,0,124.84499999999998,0.0,0.0,0.0
125.86,0,0,125.86,0.0,0.0,0.0
126.875,0,0,126.875,0.0,0.0,0.0
127.89,0,0,127.89,0.0,0.0,0.0
128.905,0,0,128.905,8.8822,0.0,0.0
129.92,0,0,129.92,8.882266666666666,0.0,0.0
130.93499999999997,0,0,130.93499999999997,8.882333333333333,0.0,0.0
131.95,0,0,131.95,8.8824,0.0,0.0
132.96499999999995,0,0,132.96499999999995,8.8826,0.0,0.0
133.98,0,0,133.98,8.8828,0.0,0.0
134.99499999999998,0,0,134.99499999999998,8.883,0.0,0.0
136.01,0,0,136.01,8.88315,0.0,0.0
137.02499999999998,0,0,137.02499999999998,8.8833,0.0,0.0
138.04,0,0,138.04,8.8838,0.0,0.0
139.05499999999998,0,0,139.05499999999998,8.884,0.0,0.0
140.07,0,0,140.07,8.8841,0.0,0.0
141.08499999999998,0,0,141.08499999999998,8.8842,0.0,0.0
142.1,0,0,142.1,8.8844,0.0,0.0
143.11499999999998,0,0,143.11499999999998,8.8846,0.0,0.0
144.13,0,0,144.13,8.8849,0.0,0.0
145.14499999999998,0,0,145.14499999999998,8.885033333333334,0.0,0.0
146.16,0,0,146.16,8.885166666666667,0.0,0.0
147.17499999999998,0,0,147.17499999999998,8.8853,0.0,0.0
148.19,0,0,148.19,8.885566666666668,0.0,0.0
149.20499999999998,0,0,149.20499999999998,8.885833333333334,0.0,0.0
150.22,0,0,150.22,8.8861,0.0,0.0
151.235,0,0,151.235,8.886266666666668,0.0,0.0
152.24999999999997,0,0,152.24999999999997,8.886433333333333,0.0,0.0
153.265,0,0,153.265,8.8866,0.0,0.0
154.27999999999997,0,0,154.27999999999997,8.886775,0.0,0.0
155.295,0,0,155.295,8.886949999999999,0.0,0.0
156.30999999999997,0,0,156.30999999999997,8.887125,0.0,0.0
157.325,0,0,157.325,8.8873,0.0,0.0
158.33999999999995,0,0,158.33999999999995,8.8877,0.0,0.0
159.355,0,0,159.355,8.88785,0.0,0.0
160.36999999999998,0,0,160.36999999999998,8.888,0.0,0.0
161.385,0,0,161.385,8.88815,0.0,0.0
162.39999999999998,0,0,162.39999999999998,8.8883,0.0,0.0
163.415,0,0,163.415,8.888499999999999,0.0,0.0
164.42999999999998,0,0,164.42999999999998,8.8887,0.0,0.0
165.445,0,0,165.445,8.8889,0.0,0.0
166.45999999999998,0,0,166.45999999999998,8.889075,0.0,0.0
167.475,0,0,167.475,8.88925,0.0,0.0
168.48999999999998,0,0,168.48999999999998,8.889425,0.0,0.0
169.505,0,0,169.505,8.8896,0.0,0.0
170.51999999999998,0,0,170.51999999999998,8.8898,0.0,0.0
171.535,0,0,171.535,8.89,0.0,0.0
172.54999999999998,0,0,172.54999999999998,8.8902,0.0,0.0
173.56499999999997,0,0,173.56499999999997,8.890325,0.0,0.0
174.57999999999998,0,0,174.57999999999998,8.890450000000001,0.0,0.0
175.59499999999997,0,0,175.59499999999997,8.890575,0.0,0.0
176.61,0,0,176.61,8.8907,0.0,0.0
177.62499999999997,0,0,177.62499999999997,8.8909,0.0,0.0
178.64,0,0,178.64,8.8911,0.0,0.0
179.65499999999997,0,0,179.65499999999997,8.8913,0.0,0.0
180.67,0,0,180.67,8.8915,0.0,0.0
181.685,0,0,181.685,8.8917,0.0,0.0
182.7,0,0,182.7,8.891866666666667,0.0,0.0
183.715,0,0,183.715,8.892033333333334,0.0,0.0
184.73,0,0,184.73,8.8922,0.0,0.0
185.745,0,0,185.745,8.89236,0.0,0.0
186.76,0,0,186.76,8.892520000000001,0.0,0.0
187.775,0,0,187.775,8.89268,0.0,0.0
188.79,0,0,188.79,8.892840000000001,0.0,0.0
189.805,0,0,189.805,8.893,0.0,0.0
190.82,0,0,190.82,8.893266666666667,0.0,0.0
191.835,0,0,191.835,8.893533333333334,0.0,0.0
192.85,0,0,192.85,8.8938,0.0,0.0
193.865,0,0,193.865,8.893966666666667,0.0,0.0
194.88,0,0,194.88,8.894133333333333,0.0,0.0
195.895,0,0,195.895,8.8943,0.0,0.0
196.91,0,0,196.91,8.8945,0.0,0.0
197.925,0,0,197.925,8.8946,0.0,0.0
198.94,0,0,198.94,8.8949,0.0,0.0
199.955,0,0,199.955,8.8951,0.0,0.0
200.97,0,0,200.97,8.895299999999999,0.0,0.0
201.985,0,0,201.985,8.8955,0.0,0.0
203.0,0,0,203.0,8.8957,0.0,0.0
204.015,0,0,204.015,8.896,0.0,0.0
205.03,0,0,205.03,8.896133333333333,0.0,0.0
206.045,0,0,206.045,8.896266666666667,0.0,0.0
207.06,0,0,207.06,8.8964,0.0,0.0
208.075,0,0,208.075,8.8965,0.0,0.0
209.09,0,0,209.09,8.8966,0.0,0.0
210.105,0,0,210.105,8.89685,0.0,0.0
211.12,0,0,211.12,8.8971,0.0,0.0
212.135,0,0,212.135,8.8972,0.0,0.0
213.15,0,0,213.15,8.8973,0.0,0.0
214.165,0,0,214.165,8.8974,0.0,0.0
215.18,0,0,215.18,8.897533333333334,0.0,0.0
216.195,0,0,216.195,8.897666666666666,0.0,0.0
217.21,0,0,217.21,8.8978,0.0,0.0
218.225,0,0,218.225,8.898050000000001,0.0,0.0
219.24,0,0,219.24,8.8983,0.0,0.0
220.255,0,0,220.255,8.898466666666668,0.0,0.0
221.27,0,0,221.27,8.898633333333333,0.0,0.0
222.285,0,0,222.285,8.8988,0.0,0.0
223.3,0,0,223.3,8.8989,0.0,0.0
224.315,0,0,224.315,8.899000000000001,0.0,0.0
225.33,0,0,225.33,8.8991,0.0,0.0
226.345,0,0,226.345,8.8995,0.0,0.0
227.36,0,0,227.36,8.899666666666667,0.0,0.0
228.375,0,0,228.375,8.899833333333333,0.0,0.0
229.39,0,0,229.39,8.9,0.0,0.0
230.405,0,0,230.405,8.9002,0.0,0.0
231.42,0,0,231.42,8.900400000000001,0.0,0.0
232.435,0,0,232.435,8.9006,0.0,0.0
233.45,0,0,233.45,8.901,0.0,0.0
234.465,0,0,234.465,8.9011,0.0,0.0
235.48,0,0,235.48,8.901200000000001,0.0,0.0
236.495,0,0,236.495,8.9013,0.0,0.0
237.51,0,0,237.51,8.901433333333333,0.0,0.0
238.525,0,0,238.525,8.901566666666668,0.0,0.0
239.54,0,0,239.54,8.9017,0.0,0.0
240.555,0,0,240.555,8.90195,0.0,0.0
241.57,0,0,241.57,8.9022,0.0,0.0
242.585,0,0,242.585,8.90245,0.0,0.0
243.6,0,0,243.6,8.9027,0.0,0.0
244.615,0,0,244.615,8.902899999999999,0.0,0.0
245.63,0,0,245.63,8.9031,0.0,0.0
246.645,0,0,246.645,8.9033,0.0,0.0
247.66,0,0,247.66,8.9034,0.0,0.0
248.675,0,0,248.675,8.9035,0.0,0.0
249.69,0,0,249.69,8.903749999999999,0.0,0.0
250.705,0,0,250.705,8.904,0.0,0.0
251.72,0,0,251.72,8.9043,0.0,0.0
252.735,0,0,252.735,8.904399999999999,0.0,0.0
253.75,0,0,253.75,8.9045,0.0,0.0
254.765,0,0,254.765,8.9046,0.0,0.0
255.78,0,0,255.78,8.905,0.0,0.0
256.795,0,0,256.795,8.9052,0.0,0.0
257.81,0,0,257.81,8.9054,0.0,0.0
258.825,0,0,258.825,8.9056,0.0,0.0
259.84,0,0,259.84,8.9058,0.0,0.0
260.855,0,0,260.855,8.905933333333333,0.0,0.0
261.86999999999995,0,0,261.86999999999995,8.906066666666666,0.0,0.0
262.885,0,0,262.885,8.9062,0.0,0.0
263.9,0,0,263.9,8.9064,0.0,0.0
264.915,0,0,264.915,8.9066,0.0,0.0
265.92999999999995,0,0,265.92999999999995,8.906766666666666,0.0,0.0
266.945,0,0,266.945,8.906933333333333,0.0,0.0
267.96,0,0,267.96,8.9071,0.0,0.0
268.975,0,0,268.975,8.907250000000001,0.0,0.0
269.98999999999995,0,0,269.98999999999995,8.9074,0.0,0.0
271.005,0,0,271.005,8.907566666666668,0.0,0.0
272.02,0,0,272.02,8.907733333333333,0.0,0.0
273.035,0,0,273.035,8.9079,0.0,0.0
274.04999999999995,0,0,274.04999999999995,8.90805,0.0,0.0
275.065,0,0,275.065,8.9082,0.0,0.0
276.08,0,0,276.08,8.9085,0.0,0.0
277.095,0,0,277.095,8.9087,0.0,0.0
278.11,0,0,278.11,8.9089,0.0,0.0
279.125,0,0,279.125,8.9091,0.0,0.0
280.14,0,0,280.14,8.9094,0.0,0.0
281.155,0,0,281.155,8.9096,0.0,0.0
282.17,0,0,282.17,8.909849999999999,0.0,0.0
283.18499999999995,0,0,283.18499999999995,8.9101,0.0,0.0
284.2,0,0,284.2,8.9105,0.0,0.0
285.215,0,0,285.215,8.910675000000001,0.0,0.0
286.23,0,0,286.23,8.91085,0.0,0.0
287.24499999999995,0,0,287.24499999999995,8.911024999999999,0.0,0.0
288.26,0,0,288.26,8.9112,0.0,0.0
289.275,0,0,289.275,8.911449999999999,0.0,0.0
290.29,0,0,290.29,8.9117,0.0,0.0
291.30499999999995,0,0,291.30499999999995,8.9121,0.0,0.0
292.32,0,0,292.32,8.91225,0.0,0.0
293.335,0,0,293.335,8.9124,0.0,0.0
294.35,0,0,294.35,8.91265,0.0,0.0
295.36499999999995,0,0,295.36499999999995,8.9129,0.0,0.0
296.38,0,0,296.38,8.9132,0.0,0.0
297.395,0,0,297.395,8.9135,0.0,0.0
298.41,0,0,298.41,8.91375,0.0,0.0
